ID,Typ cery,Wra¿liwa,G³ówny problem,Poboczny problem,Wiek,Mycie,Serum na dzieñ,Krem na dzieñ,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
1,T³usta,0,Nadprodukcja sebum,Niedoskona³oœci,17,Neutrogena Visibly Clear Clear & Defend Facial Wash,Revox Just Niacinamide 10%,To³pa - Authentic - Krem Matowa Skóra,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Brak
2,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
3,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
4,T³usta,1,Niedoskona³oœci,Przebarwienia,20,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bandi Medical Expert Anti Dry Kremowa kuracja nawil¿aj¹co-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
5,Mieszana,1,Niedoskona³oœci,Podra¿nienie,17,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
6,T³usta,1,Niedoskona³oœci,Przebarwienia,20,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bandi Medical Expert Anti Dry Kremowa kuracja nawil¿aj¹co-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
7,Mieszana,1,Niedoskona³oœci,Podra¿nienie,21,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
8,Normalna,1,Podra¿nienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
9,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
10,Mieszana,0,Podra¿nienie,Brak,20,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
