ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
1,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
2,Tłusta,1,Niedoskonałości,Nadprodukcja sebum,24,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Brak,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Yope Moon SPA krem do twarzy,Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
3,Mieszana,1,Niedoskonałości,Widoczne naczynka,22,Miya myBEUTYgel Pielęgnujący Żel do Mycia i Oczyszczania,Nacomi Next Lvl Serum z Witaminą C 15%,Caudalie Vinosource-Hydra krem intensywnie nawilżający,Holika holika aloe soothing essence,Brak,Cerave nawilzajaca emulsja ,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Brak,Brak 
4,Tłusta,1,Rozszerzone pory,Nadprodukcja sebum,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
5,Tłusta,1,Niedoskonałości,Przebarwienia,20,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
6,Mieszana,0,Podrażnienie,Brak,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
7,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,CeraVe Nawilżający Krem do Twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
8,Mieszana,1,Podrażnienie,Suche skórki,24,OnlyBio Kombucha Puszysta pianka do mycia twarzy,Nacomi Next Lvl ceramidy 5%,FaceBoom Hydro Krem Nawilżająco-Kojący na Dzień i Noc,La Roche-Posay Anthelios XL SPF50+,Paula's Choice - Calm - Repairing Serum - Łagodząco-Nawilżające Serum,BIELENDA Blue Matcha krem-żel,Brak,Maska Glinkowa Ziaja,The Ordinary AHA 30% + BHA 2% Peeling Solution
9,Tłusta,1,Niedoskonałości,Przebarwienia,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Brak,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Nanili Professional T-Cream (Aktywny krem naprawczy),Naklejki na krostki z Selfie Project,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
10,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawilżający Krem do Twarzy,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
