,ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,0,1,2,3
0,1,Tłusta,0,Nadprodukcja sebum,Niedoskonałości,21,CeraVe SA Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,CeraVe - nawilżający krem do twarzy,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,SVR Sebiaclear Hydra,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
1,2,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,CeraVe SA Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,BANDI ANTI DRY,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,SVR Sebiaclear Hydra,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
2,3,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Dermedic Melumin,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
3,4,Tłusta,1,Niedoskonałości,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Avene Cleanance Women,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
4,5,Mieszana,1,Niedoskonałości,Podrażnienie,17,Cetaphil PRO Oil Control Pianka do mycia,Revox Just Niacinamide 10%,Cetaphil PRO Oil Control Krem nawilżająco-matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,BANDI ANTI DRY,Brak,Biała glinka,0.0,0.0,1.0,0.0
5,6,Tłusta,1,Niedoskonałości,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,The Ordinary Więcej molekuł Niacinamide 10% + Zinc 1%,Avene Cleanance Women,Acnederm,Biała glinka,1.0,0.0,0.0,0.0
6,7,Mieszana,1,Niedoskonałości,Podrażnienie,21,Cetaphil PRO Oil Control Pianka do mycia,Revox Just Niacinamide 10%,Cetaphil PRO Oil Control Krem nawilżająco-matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,BANDI ANTI DRY,Brak,Biała glinka,0.0,0.0,1.0,0.0
7,8,Normalna,1,Podrażnienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,BANDI ANTI DRY,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,1.0,0.0
8,9,Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,BANDI ANTI DRY,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
9,10,Mieszana,0,Podrażnienie,Brak,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe - nawilżający krem do twarzy,SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe - nawilżający krem do twarzy,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
10,11,Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,BANDI ANTI DRY,Maść z witaminą A,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,1.0,0.0,0.0
11,12,Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,BANDI ANTI DRY,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,1.0,0.0,0.0
12,13,Mieszana,0,Podrażnienie,Brak,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe - nawilżający krem do twarzy,SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe - nawilżający krem do twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,1.0,0.0
13,14,Tłusta,1,Przebarwienia,Niedoskonałości,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear,Brak,Dermedic Melumin,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,1.0,0.0,0.0,0.0
14,15,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,1.0,0.0,0.0
15,16,Normalna,0,Przebarwienia,Brak,17,Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear,Brak,Dermedic Melumin,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
16,17,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,BANDI ANTI DRY,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Brak,Mediheal NMF Aquaring Ampoule Mask EX,0.0,1.0,0.0,0.0
17,18,Normalna,0,Przebarwienia,Podrażnienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear,Brak,Dermedic Melumin,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,0.0,1.0,0.0
18,19,Tłusta,1,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
19,20,Tłusta,1,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Cetaphil PRO Oil Control Krem nawilżająco-matujący,SVR Sebiaclear,Brak,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,0.0,0.0,0.0,1.0
20,21,Sucha,0,Suche skórki,Szara cera,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Brak,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,0.0,0.0,1.0,0.0
