ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
1,3,0,0,2,17,16,12,19,12,4,15,1,10,2
2,0,1,0,2,20,19,12,2,5,11,15,1,9,0
3,0,1,0,2,20,19,12,10,5,11,9,1,9,0
4,3,1,1,4,20,1,2,1,5,1,4,0,9,0
5,0,1,1,3,17,6,12,1,13,7,3,1,9,2
6,0,1,1,3,21,6,12,1,13,7,3,1,9,2
7,1,1,2,0,20,1,8,1,0,12,3,1,7,7
8,0,1,2,6,16,22,8,1,13,12,3,1,2,1
9,0,0,2,0,20,22,8,1,0,12,7,1,2,1
10,1,0,2,6,20,13,8,1,0,12,3,1,2,1
11,0,1,2,6,16,22,8,1,13,7,3,1,7,1
12,0,0,2,0,24,22,8,1,0,12,7,1,7,2
13,3,1,3,2,17,19,7,1,12,12,9,1,7,0
14,1,0,3,0,17,3,7,1,12,11,9,1,7,7
15,2,1,3,0,20,23,7,1,13,7,9,1,7,1
16,1,0,3,3,17,13,7,1,12,11,9,1,2,2
17,3,1,4,0,18,1,2,1,12,7,0,1,7,7
18,3,1,4,4,18,1,7,1,12,11,0,1,7,7
19,2,0,5,7,24,13,7,1,7,12,14,1,2,1
20,1,0,6,0,18,23,7,1,13,11,7,1,7,7
21,2,1,6,6,16,22,8,1,13,11,14,1,9,1
22,2,1,7,0,20,23,0,1,15,11,16,1,2,1
23,1,1,7,0,21,3,0,1,15,11,16,1,2,7
24,2,1,7,0,20,23,0,1,15,11,16,1,7,1
25,1,1,7,6,21,13,0,1,15,12,16,1,2,1
26,3,0,0,2,21,5,15,1,0,11,7,1,3,0
27,0,1,0,2,20,5,12,1,12,11,15,1,9,0
28,0,1,0,2,20,19,12,1,12,11,9,1,7,0
29,3,0,1,4,20,16,2,1,12,11,0,0,9,0
30,0,0,1,3,17,6,12,10,13,7,3,1,9,2
31,3,0,1,0,20,19,4,10,12,11,0,1,1,6
32,0,0,1,3,21,6,12,10,13,11,3,1,1,2
33,1,0,2,0,20,1,8,2,0,12,3,1,7,2
34,0,0,2,6,16,22,8,2,13,12,3,1,2,1
35,0,0,2,0,20,22,8,8,0,12,7,1,7,1
36,1,0,2,6,20,13,8,2,0,12,3,1,2,1
37,0,1,2,6,16,22,8,2,13,7,3,1,7,1
38,0,0,2,0,24,22,8,8,0,12,7,1,7,2
