Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Mieszana,Rozszerzone pory,Brak,1,23,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,FACEBOOM Seboom peeling kwasowy wygładzający
Sucha,Rozszerzone pory,Brak,1,22,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Niedoskonałości,Przebarwienia,1,19,ONLYBIO Face in Balance Pianka do twarzy adaptogenna enzymatyczna,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Nivea Soft Krem Intensywnie Nawilżający,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maska Glinkowa Ziaja,Brak
Normalna,Podrażnienie,Widoczne naczynka,0,24,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Acnederm,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Podrażnienie,Suche skórki,1,19,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,SunewMed+ Vitamin C,La Roche-Posay Anthelios XL SPF50+,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Podrażnienie,Niedoskonałości,1,19,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Revox Just Niacinamide 10%,HelloBody Aloe Light nawilżający krem do twarzy,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Niedoskonałości,Brak,0,20,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,Nacomi Next Level Serum Ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Sensifine AR,Acnederm,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Nadprodukcja sebum,Podrażnienie,1,24,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Nacomi Next Lvl ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Widoczne naczynka,Brak,0,22,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Nadprodukcja sebum,Niedoskonałości,1,21,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,CeraVe Nawilżający Krem do Twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,FACEBOOM Seboom peeling kwasowy wygładzający
